GeneID	OKO1	OKO2	OKO4	OKO5	OKO6	OWT1	OWT10	OWT4	OWT5	OWT7	YWT1	YWT2	YWT3	YWT4	YWT6
ENSMUSG00000000001	2955	2923	2627	2666	2528	3523	2902	3098	3474	2715	2822	2374	2815	2841	2598
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	20	23	28	17	26	21	20	29	32	28	26	41	38	25	27
ENSMUSG00000000031	3	10	3	8	67	5	8	5	9	163	6	0	1	3	3
ENSMUSG00000000037	1	0	0	0	0	0	3	0	1	0	1	1	2	1	1
ENSMUSG00000000049	54500	59181	52969	56715	55112	58728	50692	54026	61497	54638	72753	67513	63586	68424	36088
ENSMUSG00000000056	961	870	698	613	569	913	616	877	915	923	1041	970	1205	1029	654
ENSMUSG00000000058	145	116	90	96	96	144	55	141	120	102	92	105	175	169	98
ENSMUSG00000000078	536	418	341	380	326	518	430	525	525	734	421	313	435	525	345
ENSMUSG00000000085	191	288	195	157	187	303	219	257	339	261	524	376	332	380	211
ENSMUSG00000000088	980	1115	1064	1317	1070	1209	1052	905	1458	976	1566	1516	1211	1436	810
ENSMUSG00000000093	57	78	57	94	51	114	67	90	97	97	139	97	146	148	49
ENSMUSG00000000094	1	1	1	2	2	1	0	1	0	0	0	1	1	0	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	141	195	97	51	36	212	109	184	224	84	100	105	108	164	78
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	19	10	13	14	14	43	18	18	22	9	6	19	12	10	3
ENSMUSG00000000127	246	226	173	191	161	245	187	226	278	188	252	222	265	232	180
ENSMUSG00000000131	1058	1292	1060	966	943	1538	1320	1312	1637	1127	2119	1703	1466	1574	933
ENSMUSG00000000134	681	643	562	573	520	844	694	758	833	682	862	753	674	769	638
ENSMUSG00000000142	374	381	448	283	289	523	273	454	608	243	953	787	383	482	402
ENSMUSG00000000148	279	248	181	240	223	377	217	295	347	244	428	372	233	287	194
ENSMUSG00000000149	1639	2866	2425	1837	2520	3930	3001	2596	3791	2294	4068	3554	3070	3828	1915
ENSMUSG00000000154	1932	1910	1840	1861	1469	2204	1645	1748	2539	1578	2181	1834	1664	1969	1148
ENSMUSG00000000157	33	36	42	29	31	56	63	63	74	42	85	59	73	100	113
ENSMUSG00000000159	533	642	599	485	610	677	893	764	880	564	1032	794	731	800	779
ENSMUSG00000000167	10	12	14	15	13	12	10	12	13	13	18	21	6	22	8
ENSMUSG00000000168	1461	1496	1389	1307	1173	1521	1332	1420	1935	1315	2123	1651	1609	1680	1198
ENSMUSG00000000171	4984	5584	4800	5135	5095	6174	5033	5433	6413	5681	9097	7845	6716	7504	4550
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	308	186	191	208	116	333	183	238	299	205	222	201	238	291	234
ENSMUSG00000000194	507	523	422	450	427	645	534	544	705	506	977	783	732	862	550
ENSMUSG00000000197	2	0	1	5	0	0	3	0	0	2	0	0	1	0	1
ENSMUSG00000000202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	10	8	4	7	3	24	11	13	12	23	15	7	7	12	10
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000000223	4	0	1	1	1	3	1	0	6	2	1	1	1	1	1
ENSMUSG00000000244	27	12	5	13	6	20	20	22	15	27	12	10	9	12	15
ENSMUSG00000000247	118	124	69	48	50	115	80	87	132	92	147	152	114	133	66
ENSMUSG00000000248	11	1	4	0	2	0	0	2	2	2	0	0	0	1	3
ENSMUSG00000000253	15	15	14	12	10	22	17	29	19	17	30	19	16	26	17
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000266	320	326	235	240	191	358	262	299	363	265	513	420	439	434	304
ENSMUSG00000000275	3336	3525	3534	2437	3523	5583	4204	4568	5039	3876	6888	5829	4989	6028	3533
ENSMUSG00000000276	94	107	59	50	51	134	122	121	121	179	224	207	190	183	95
ENSMUSG00000000278	1327	1424	1256	1251	1188	1345	1159	1533	1577	1026	1873	1299	1189	1497	1177
ENSMUSG00000000282	227	388	174	152	152	319	247	289	197	350	325	417	335	202	140
ENSMUSG00000000290	179	153	96	154	78	350	264	376	256	280	192	128	279	225	189
ENSMUSG00000000295	28	25	19	43	26	22	31	24	37	44	58	41	30	25	13
ENSMUSG00000000296	175	222	178	162	187	213	176	162	208	202	304	262	286	244	137
ENSMUSG00000000301	5073	5069	4978	4881	4072	5598	4584	5694	6646	4330	5024	4827	4046	5138	2984
ENSMUSG00000000303	446	203	220	223	162	152	76	181	343	1251	935	1302	645	1157	720
ENSMUSG00000000305	23	28	29	21	24	35	18	27	14	14	40	60	46	49	24
ENSMUSG00000000308	1	2	2	0	0	2	1	1	1	2	2	0	3	0	0
ENSMUSG00000000317	46	77	69	25	58	94	53	66	123	81	148	89	80	189	84
ENSMUSG00000000318	5	9	5	8	3	10	9	9	11	12	7	6	4	6	7
ENSMUSG00000000320	35	29	12	18	17	17	19	40	15	33	29	16	21	37	16
ENSMUSG00000000325	435	455	273	347	212	451	319	388	526	377	544	481	487	530	302
ENSMUSG00000000326	8240	8366	7705	8052	5543	11536	7868	9347	13573	6543	8069	8273	6031	9200	7058
ENSMUSG00000000339	80	97	70	78	69	112	92	103	122	117	196	151	137	131	70
ENSMUSG00000000340	3737	3740	2788	3242	2356	3469	2911	3464	3536	3981	5072	3959	4543	4093	2393
ENSMUSG00000000346	3754	4373	3783	3503	3265	4521	3719	4246	5053	3651	5833	5379	4498	5074	3226
ENSMUSG00000000355	650	650	645	636	669	794	756	703	806	708	873	727	868	836	759
ENSMUSG00000000359	30	8	10	20	7	13	8	8	22	9	10	15	8	14	2
ENSMUSG00000000365	1	1	3	0	1	4	0	3	0	1	2	2	1	3	2
ENSMUSG00000000374	939	988	708	806	766	1145	936	973	1106	833	1454	1014	1070	1089	716
ENSMUSG00000000378	352	364	385	401	360	520	462	420	585	374	614	488	419	581	293
ENSMUSG00000000381	1	3	2	3	0	4	0	1	1	1	2	9	2	4	1
ENSMUSG00000000384	706	938	657	685	732	950	813	827	1121	784	2130	1599	1227	1474	745
ENSMUSG00000000385	256	229	175	237	135	213	230	239	288	272	477	381	306	323	184
ENSMUSG00000000386	28	57	18	19	13	98	66	60	72	69	54	51	55	51	68
ENSMUSG00000000392	8	4	6	6	4	8	4	3	15	5	10	9	5	15	4
ENSMUSG00000000394	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000399	2363	2953	2471	2521	2347	2955	2588	2984	3249	2448	3820	3189	3041	3209	2315
ENSMUSG00000000402	10	2	11	6	4	7	7	5	9	6	5	2	5	6	3
ENSMUSG00000000409	36	29	9	41	11	37	59	22	54	63	35	22	48	36	39
ENSMUSG00000000411	0	0	2	1	2	0	0	0	2	2	2	2	4	0	0
ENSMUSG00000000416	21	5	20	9	7	8	8	7	14	38	4	15	10	10	8
ENSMUSG00000000420	1670	1809	1442	1596	1557	2130	2045	2011	2194	1876	2583	2315	2326	2316	1874
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	261	349	298	249	244	440	368	321	459	364	532	458	395	363	254
ENSMUSG00000000440	292	478	487	285	223	540	407	487	658	406	477	370	311	325	343
ENSMUSG00000000441	2183	2537	2052	1891	2053	2789	2205	2526	2829	2644	2990	2712	2271	2805	1789
ENSMUSG00000000486	56	60	21	32	29	50	45	56	58	85	37	28	59	47	26
ENSMUSG00000000489	38	36	17	38	15	39	25	23	39	52	32	40	35	33	23
ENSMUSG00000000530	79	60	71	84	60	135	69	113	128	109	115	88	104	132	77
ENSMUSG00000000531	36	35	35	36	25	39	47	44	61	37	76	57	89	108	39
ENSMUSG00000000532	269	257	162	187	130	355	253	292	274	281	626	477	438	336	252
ENSMUSG00000000538	508	709	542	521	570	852	632	746	893	715	1670	1260	1007	1207	803
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000552	411	450	369	438	406	592	440	501	668	411	529	507	311	437	360
ENSMUSG00000000555	1165	1046	924	858	885	1437	1252	1057	1226	916	1511	1198	931	1225	733
ENSMUSG00000000560	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000561	800	842	724	723	678	910	875	810	1020	798	1548	1233	1135	1177	817
ENSMUSG00000000562	2	1	0	0	0	3	0	3	0	7	1	2	1	1	1
ENSMUSG00000000563	5087	5728	5100	5562	4683	5879	5420	5462	6799	5315	8161	6730	6933	6390	4967
ENSMUSG00000000567	212	104	137	140	74	100	45	95	142	377	226	150	84	142	35
ENSMUSG00000000568	1281	1466	1042	1079	1080	1276	1416	1351	1450	1514	2208	2167	1982	1830	1473
ENSMUSG00000000579	148	124	119	114	97	175	146	166	136	184	158	181	170	120	174
ENSMUSG00000000581	1152	1123	1113	999	1005	1206	1218	1219	1468	987	1458	1170	1304	1189	1105
ENSMUSG00000000594	2989	3066	2454	2905	1940	3621	2825	2528	4001	3405	2570	2070	2192	2156	1090
ENSMUSG00000000600	722	600	507	560	499	665	517	519	662	551	761	558	544	729	599
ENSMUSG00000000605	2001	2334	1851	2125	2039	2541	2419	2302	2630	2035	3046	2574	2353	2611	2015
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0
